1,ALAPHILIPPE Julian,6:38:34
2,van AERT Wout,+24
3,HIRSCHI Marc,+24
4,KWIATKOWSKI Michal,+24
5,FUGLSANG Jakob,+24
6,ROGLIC Primoz,+24
7,MATTHEWS Michael,+53
8,VALVERDE Alejandro,+53
9,SCHACHMANN Maximilian,+53
10,CARUSO Damiano,+53
11,HUNDAHL Michael Valgren,+53
12,WOODS Michael,+53
13,MARTIN Guillaume,+53
14,DUMOULIN Tom,+53
15,NIBALI Vincenzo,+57
16,LANDA MEANA Mikel,+57
17,GESCHKE Simon,+1:34
18,BETTIOL Alberto,+1:34
19,MOLARD Rudy,+1:34
20,BILBAO LOPEZ de ARMENTIA Pello,+1:34
21,van AVERMAET Greg,+1:34
22,CARAPAZ Richard,+1:34
23,MASNADA Fausto,+1:34
24,URAN Rigoberto,+1:34
25,PORTE Richie,+1:34
26,COSTA Rui,+2:03
27,POLANC Jan,+2:03
28,HERRADA Jesus,+2:03
29,SKUJINS Toms,+3:40
30,BENOOT Tiesj,+3:44
31,MARTINEZ POVEDA Daniel Felipe,+3:44
32,CHAVES RUBIO Jhoan Esteban,+3:44
33,POGACAR Tadej,+3:44
34,MADOUAS Valentin,+5:15
35,van BAARLE Dylan,+5:48
36,HOELGAARD Markus,+5:54
37,ELISSONDE Kenny,+8:30
38,OLIVEIRA Nelson,+8:49
39,WELLENS Tim,+9:24
40,VLIEGEN Loic,+9:24
41,LOPEZ MORENO Miguel Angel,+9:24
42,PIDCOCK Thomas,+9:24
43,VISCONTI Giovanni,+10:32
44,CLARKE Simon,+10:32
45,OOMEN Sam,+10:32
46,GASPAROTTO Enrico,+10:32
47,ULISSI Diego,+10:32
48,HIGUITA GARCIA Sergio Andres,+10:32
49,PRONSKIY Vadim,+10:32
50,HENAO MONTOYA Sergio Luis,+10:32
51,ROCHE Nicolas,+10:32
52,SANCHEZ Luis Leon,+10:32
53,KUSS Sepp,+12:35
54,SCHONBERGER Sebastian,+15:25
55,ZIMMERMANN Georg,+15:25
56,LEKNESSUND Andreas,+15:27
57,BAGIOLI Andrea,+15:27
58,NEILANDS Krists,+16:20
59,HIRT Jan,+19:42
60,GREGAARD WILSLY Jonas,+19:42
61,HOULE Hugo,+19:42
62,STRAKHOV Dmitrii,+20:13
63,DENZ Nico,+21:59
64,OTRUBA Jakub,+21:59
65,PEDERSEN Casper Phillip,+21:59
66,MARTENS Paul,+21:59
67,KUDUS Merhawi,+21:59
68,TUSVELD Martijn,+21:59
69,GEBREIGZABHIER Amanuel,+21:59
70,OWSIAN Lukasz,+21:59
71,TOUPALIK Adam,+21:59
72,PATERSKI Maciej,+21:59
73,HAGEN Carl Fredrik,+21:59
74,NATAROV Yuriy,+21:59
75,CHERNETSKII Sergei,+21:59
76,VALTER Attila,+21:59
77,JUUL JENSEN Christopher,+21:59
78,MEINTJES Louis,+21:59
79,WEENING Pieter,+21:59
80,CAICEDO Jonathan,+21:59
81,SHAW James,+21:59
82,ROVNY Ivan,+21:59
83,GOLAS Michal,+21:59
84,TRAEEN Torstein,+21:59
85,ERIKSSON Lucas,+21:59
86,HAYTER Ethan,+22:03
87,BUDIAK Anatolii,+28:05
88,OLIVEIRA Ivo,+32:08
-,BRAMBILLA Gianluca,DNF
-,KNOX James,DNF
-,HINDLEY Jai,DNF
-,SMITH Dion,DNF
-,ROWE Luke,DNF
-,STUYVEN Jasper,DNF
-,SERRY Pieter,DNF
-,EENKHOORN Pascal,DNF
-,TOLHOEK Antwan,DNF
-,LAENGEN Vegard Stake,DNF
-,HANSEN Jesper,DNF
-,HAMILTON Christopher,DNF
-,BENNETT George,DNF
-,SCHULTZ Nicholas,DNF
-,ARASHIRO Yukiya,DNF
-,PETERS Nans,DNF
-,BERNARD Julien,DNF
-,PACHER Quentin,DNF
-,DEGENKOLB John,DNF
-,MEZGEC Luka,DNF
-,MAS NICOLAU Enric,DNF
-,de la CRUZ MELGAREJO David,DNF
-,SOLER Marc,DNF
-,CATAFORD Alexander,DNF
-,KANGERT Tanel,DNF
-,NAESEN Oliver,DNF
-,TEJADA CANACUE Harold Alfonso,DNF
-,NEKRASOV Denis,DNF
-,KOCH Jonas,DNF
-,RIABUSHENKO Aleksandr,DNF
-,HOWSON Damien,DNF
-,BRAJKOVIC Janez,DNF
-,POWLESS Neilson,DNF
-,McNULTY Brandon,DNF
-,PRUUS Peeter,DNF
-,TRATNIK Jan,DNF
-,CEPEDA HERNANDEZ Jefferson Alveiro,DNF
-,EG Niklas,DNF
